week,canada,uruguay
11/8/2015,74,17
11/15/2015,81,17
11/22/2015,94,17
11/29/2015,92,0
12/6/2015,87,18
12/13/2015,87,18
12/20/2015,96,0
12/27/2015,90,21
1/3/2016,68,20
1/10/2016,62,0
1/17/2016,60,20
1/24/2016,46,19
1/31/2016,43,19
2/7/2016,43,39
2/14/2016,35,0
2/21/2016,42,19
2/28/2016,35,27
3/6/2016,36,34
3/13/2016,33,35
3/20/2016,35,20
3/27/2016,28,17
4/3/2016,27,51
4/10/2016,29,41
4/17/2016,22,33
4/24/2016,27,77
5/1/2016,26,60
5/8/2016,23,36
5/15/2016,23,53
5/22/2016,20,89
5/29/2016,22,74
6/5/2016,25,100
6/12/2016,21,77
6/19/2016,20,72
6/26/2016,22,64
7/3/2016,22,53
7/10/2016,21,43
7/17/2016,23,33
7/24/2016,19,36
7/31/2016,23,73
8/7/2016,22,33
8/14/2016,28,60
8/21/2016,34,20
8/28/2016,30,18
9/4/2016,30,18
9/11/2016,32,18
9/18/2016,42,0
9/25/2016,52,19
10/2/2016,53,19
10/9/2016,56,19
10/16/2016,59,18
10/23/2016,72,36
10/30/2016,67,19
11/6/2016,65,0
11/13/2016,72,19
11/20/2016,93,19
11/27/2016,85,19
12/4/2016,89,19
12/11/2016,100,0
12/18/2016,91,20
12/25/2016,78,0
1/1/2017,63,20
1/8/2017,59,0
1/15/2017,49,0
1/22/2017,42,37
1/29/2017,43,18
2/5/2017,41,17
2/12/2017,36,0
2/19/2017,29,0
2/26/2017,32,37
3/5/2017,31,27
3/12/2017,34,18
3/19/2017,32,18
3/26/2017,25,26
4/2/2017,21,35
4/9/2017,25,40
4/16/2017,27,59
4/23/2017,23,29
4/30/2017,28,73
5/7/2017,26,28
5/14/2017,23,56
5/21/2017,21,56
5/28/2017,17,68
6/4/2017,22,99
6/11/2017,20,54
6/18/2017,22,91
6/25/2017,22,37
7/2/2017,24,49
7/9/2017,19,18
7/16/2017,18,65
7/23/2017,24,59
7/30/2017,20,42
8/6/2017,24,22
8/13/2017,26,18
8/20/2017,25,35
8/27/2017,29,16
9/3/2017,31,24
9/10/2017,32,0
9/17/2017,35,0
9/24/2017,40,17
10/1/2017,43,17
10/8/2017,53,26
10/15/2017,55,17
10/22/2017,52,0
10/29/2017,57,36
11/5/2017,78,88
11/12/2017,73,35
11/19/2017,77,0
11/26/2017,75,0
12/3/2017,78,18
12/10/2017,88,18
12/17/2017,79,18
12/24/2017,80,21
12/31/2017,60,19
1/7/2018,50,18
1/14/2018,49,35
1/21/2018,41,18
1/28/2018,34,35
2/4/2018,41,0
2/11/2018,35,18
2/18/2018,35,0
2/25/2018,36,17
3/4/2018,30,0
3/11/2018,30,24
3/18/2018,30,32
3/25/2018,27,19
4/1/2018,26,16
4/8/2018,26,33
4/15/2018,23,17
4/22/2018,21,33
4/29/2018,21,32
5/6/2018,22,24
5/13/2018,23,87
5/20/2018,23,54
5/27/2018,16,32
6/3/2018,23,76
6/10/2018,21,72
6/17/2018,16,49
6/24/2018,21,54
7/1/2018,20,39
7/8/2018,21,60
7/15/2018,19,43
7/22/2018,20,57
7/29/2018,22,32
8/5/2018,27,39
8/12/2018,23,16
8/19/2018,25,22
8/26/2018,25,24
9/2/2018,25,25
9/9/2018,33,16
9/16/2018,36,17
9/23/2018,43,24
9/30/2018,43,17
10/7/2018,43,17
10/14/2018,60,18
10/21/2018,61,17
10/28/2018,50,0
11/4/2018,56,16
11/11/2018,66,16
11/18/2018,77,0
11/25/2018,60,17
12/2/2018,67,18
12/9/2018,74,0
12/16/2018,73,17
12/23/2018,65,0
12/30/2018,55,19
1/6/2019,46,17
1/13/2019,47,0
1/20/2019,40,0
1/27/2019,42,16
2/3/2019,46,0
2/10/2019,38,0
2/17/2019,36,0
2/24/2019,31,16
3/3/2019,35,0
3/10/2019,30,16
3/17/2019,28,32
3/24/2019,32,24
3/31/2019,22,43
4/7/2019,25,34
4/14/2019,25,26
4/21/2019,22,39
4/28/2019,26,17
5/5/2019,24,26
5/12/2019,21,42
5/19/2019,23,26
5/26/2019,20,47
6/2/2019,19,42
6/9/2019,18,48
6/16/2019,20,29
6/23/2019,17,20
6/30/2019,19,61
7/7/2019,19,49
7/14/2019,19,44
7/21/2019,19,30
7/28/2019,18,40
8/4/2019,21,27
8/11/2019,24,32
8/18/2019,24,22
8/25/2019,25,0
9/1/2019,27,47
9/8/2019,32,0
9/15/2019,37,0
9/22/2019,35,16
9/29/2019,38,0
10/6/2019,44,30
10/13/2019,47,44
10/20/2019,50,15
10/27/2019,49,14
11/3/2019,63,15
11/10/2019,64,15
11/17/2019,57,15
11/24/2019,64,0
12/1/2019,68,16
12/8/2019,67,0
12/15/2019,76,15
12/22/2019,58,18
12/29/2019,51,0
1/5/2020,39,0
1/12/2020,41,0
1/19/2020,34,0
1/26/2020,33,16
2/2/2020,42,0
2/9/2020,41,0
2/16/2020,33,31
2/23/2020,34,16
3/1/2020,32,0
3/8/2020,21,14
3/15/2020,18,21
3/22/2020,22,19
3/29/2020,33,32
4/5/2020,27,44
4/12/2020,24,45
4/19/2020,26,26
4/26/2020,18,22
5/3/2020,25,31
5/10/2020,25,37
5/17/2020,22,32
5/24/2020,20,55
5/31/2020,21,61
6/7/2020,21,44
6/14/2020,24,60
6/21/2020,20,46
6/28/2020,25,94
7/5/2020,22,59
7/12/2020,20,70
7/19/2020,24,30
7/26/2020,25,54
8/2/2020,25,14
8/9/2020,24,29
8/16/2020,29,29
8/23/2020,30,14
8/30/2020,32,28
9/6/2020,34,14
9/13/2020,32,34
9/20/2020,37,15
9/27/2020,33,14
10/4/2020,38,15
10/11/2020,43,15
10/18/2020,42,14
10/25/2020,43,0
