dateMonth,dateWeekday,dateQuarter,operationType,amount,oldbalanceOrig,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
1,1,1,4,736.76,1120,383.24,0,0,0
1,1,1,2,256226.2,0,0,518041.64,1305828.01,0
1,1,1,5,310027.49,61594,0,10089,1157398.83,0
1,1,1,1,76695.35,9064440.33,9141135.68,880045.33,206147.08,0
1,1,1,4,4761.57,0,0,0,0,0
1,1,1,2,162945.4,0,0,247634.68,393406.66,0
1,1,1,1,145697.63,6314994.42,6460692.05,11919932.15,15026180.08,0
1,1,1,2,170504.65,605131.64,434626.99,179341.27,183517.82,0
1,1,1,1,149026.56,9200410.2,9349436.76,336403.65,0,0
1,1,1,2,209749.88,40746,0,0,347602.17,0
1,1,1,4,6652.85,12589,5936.15,0,0,0
1,1,1,1,115359.35,4124593.17,4239952.52,320843,117034.28,0
1,1,1,4,8531.42,18961.11,10429.69,0,0,0
1,1,1,4,5089.67,39322,34232.33,0,0,0
1,1,1,2,244220.99,10094,0,5149468.38,5393689.37,0
1,1,1,3,6010.62,549946.93,543936.31,8629.02,14639.63,0
1,1,1,4,25376.76,0,0,0,0,0
1,1,1,1,241186.3,30946,272132.3,1025726.08,1657505.28,0
1,1,1,2,31465.43,0,0,15980291.89,17020715.36,0
1,1,1,2,135809.08,0,0,148304.02,253838.43,0
1,1,1,4,14270.39,3268,0,0,0,0
1,1,1,2,239806.85,0,0,848916.61,2130632.68,0
1,1,1,1,530092.8,67168,597260.8,127995,90821.34,0
1,1,1,4,24187.28,12439.27,0,0,0,0
1,1,1,5,1327566.28,10438,0,60059.81,1185616.33,0
1,1,1,4,15069.95,0,0,0,0,0
1,1,1,2,462472.72,0,0,4592962.92,5745385.14,0
1,1,1,4,12637.3,0,0,0,0,0
1,1,1,2,64443.97,91971,27527.03,2533366.62,3876349.67,0
1,1,1,2,186948.68,0,0,424323.35,611272.03,0
1,1,1,2,102150.78,0,0,1376299.68,2585153.26,0
1,1,1,1,360262.92,11163522.31,11523785.23,17642401.4,16420556.26,0
1,1,1,4,6340.07,10745,4404.93,0,0,0
1,1,1,2,154976.5,0,0,389661.75,1446363.13,0
1,1,1,4,1950.51,0,0,0,0,0
1,1,1,1,135905.7,2025217.59,2161123.29,191610.56,21918.94,0
1,1,1,1,264665.47,22301,286966.47,585,422948.65,0
1,1,1,4,2690.57,1142,0,0,0,0
1,1,1,2,144886.51,1688019.53,1543133.02,658403.07,2239899.53,0
1,1,1,1,22825.61,7598144.35,7620969.96,205933,124899.5,0
1,1,1,4,9547.41,36258,26710.59,0,0,0
1,1,1,4,10639.12,11671,1031.88,0,0,0
1,1,1,1,438969.05,9806203.5,10245172.55,1187114.17,331525.89,0
1,1,1,5,704960.43,0,0,2164966.54,3341582.26,0
1,1,1,1,13310.69,396815.32,410126,833964.66,820653.98,0
1,1,1,1,9452.45,20587812.92,20597265.37,98342.2,2728923.21,0
1,1,1,4,7915.22,0,0,0,0,0
1,1,1,1,17832.8,54264,72096.8,19066.07,172151.98,0
1,1,1,4,11071.42,94574,83502.58,0,0,0
1,1,1,2,56315.74,26852,0,0,56315.74,0
1,1,1,5,1532087.16,0,0,1812455.01,5652054.58,0
1,1,1,4,3704.3,0,0,0,0,0
1,1,1,2,363245.49,114609,0,159353.89,301220.8,0
1,1,1,2,331277.82,35803,0,3204027.56,2949854.66,0
1,1,1,2,38513.08,0,0,824217.64,862730.72,0
1,1,1,2,47572.8,5060,0,738220.96,0,0
1,1,1,4,26539.83,929194,902654.17,0,0,0
1,1,1,2,103373,0,0,221130.67,315931.5,0
1,1,1,5,740157.79,193459,0,478342.83,1815345.46,0
1,1,1,1,167481.58,3463190.42,3630672,12959765,13162334.93,0
1,1,1,2,198176.76,10902,0,77617.03,0,0
1,1,1,3,1961.21,21334,19372.79,48519,50480.21,0
1,1,1,5,208643.11,0,0,247231.63,1091728.63,0
1,1,1,4,30937.96,0,0,0,0,0
1,1,1,4,10356.97,507591.35,497234.38,0,0,0
1,1,1,5,1069386.96,0,0,1804602.91,2676612.04,0
1,1,1,4,10976.45,0,0,0,0,0
1,1,1,4,2008.06,111354,109345.94,0,0,0
1,1,1,1,270439.17,23294,293733.17,136014.1,0,0
1,1,1,4,5880.15,51649,45768.85,0,0,0
1,1,1,2,152863.26,2269,0,1522,154385.26,0
1,1,1,5,1915552.3,20534,0,12652245.5,15065192.64,0
1,1,1,4,10213.02,257029.63,246816.61,0,0,0
1,1,1,4,7538.29,386868.86,379330.57,0,0,0
1,1,1,4,12415.09,18714,6298.91,0,0,0
1,1,1,2,294676.49,0,0,324756.3,619432.79,0
1,1,1,4,7405.36,0,0,0,0,0
1,1,1,2,14618.76,0,0,308015.31,322634.07,0
1,1,1,5,1371297.02,49248.63,0,1519450.22,4674418.34,0
1,1,1,5,45447.1,156,0,46347.75,91794.85,0
1,1,1,4,14954.75,0,0,0,0,0
1,1,1,4,3002.37,0,0,0,0,0
1,1,1,4,452.6,185293.53,184840.92,0,0,0
1,1,1,1,6751.83,7708896.72,7715648.55,21117,1110989.4,0
1,1,1,4,4955.59,41403,36447.41,0,0,0
1,1,1,1,208095.1,199375,407470.1,517665.78,0,0
1,1,1,1,494230.7,31055,525285.7,239681.66,0,0
1,1,1,4,21854.62,304420.6,282565.98,0,0,0
1,1,1,4,19497.63,599428.2,579930.58,0,0,0
1,1,1,4,5485.2,1182835.1,1177349.9,0,0,0
1,1,1,1,457541.06,6358923.19,6816464.25,577422.72,119881.66,0
1,1,1,2,264024.16,0,0,1720676.92,2046918.8,0
1,1,1,2,140781.67,3143,0,3473225.29,3962229.17,0
1,1,1,4,307.75,149069,148761.25,0,0,0
1,1,1,2,69331.92,0,0,5776267.83,7019168.12,0
1,1,1,4,20478.07,3585503.03,3565024.96,0,0,0
1,1,1,1,162637.89,21529773.2,21692411.09,330990.3,163427.07,0
1,1,1,2,55207.84,701404.67,646196.83,1368603.53,1423811.37,0
1,1,1,4,17906.3,0,0,0,0,0
1,1,1,2,160028.35,0,0,8405039.86,8565068.21,0
1,1,1,1,224035.78,1857217.46,2081253.24,412363.07,186780.1,0
1,1,1,2,89524.86,8334.22,0,0,89524.86,0
1,1,1,4,19022.26,147849.43,128827.17,0,0,0
1,1,1,4,12007.13,0,0,0,0,0
1,1,1,4,4919.91,244772.32,239852.4,0,0,0
1,1,1,2,442593.63,7525,0,58352.07,450064.6,0
1,1,1,5,2703653.43,0,0,15381543.39,21154408.4,0
1,2,1,5,73224.73,149953,76728.27,32607.98,2251415.48,0
1,2,1,2,116840.6,15866,0,10826,2012578.79,0
1,2,1,4,3074.6,43269,40194.4,0,0,0
1,2,1,1,168151.25,1071763.92,1239915.17,825940.86,475635.97,0
1,2,1,4,1579.8,750276.75,748696.95,0,0,0
1,2,1,1,91832.2,7044099.02,7135931.21,437301.69,345469.49,0
1,2,1,2,94755.06,30917,0,0,178687.54,0
1,2,1,4,444.78,121171.79,120727.01,0,0,0
1,2,1,2,117093.24,10423,0,701465.13,1383628.36,0
1,2,1,2,593615.08,0,0,21804973.71,22641471.24,0
1,2,1,4,14039.36,31088,17048.64,0,0,0
1,2,1,4,5174.43,812122.97,806948.54,0,0,0
1,2,1,3,5142.64,0,0,24606,0,0
1,2,1,4,7671.9,717132.12,709460.22,0,0,0
1,2,1,4,11396.93,0,0,0,0,0
1,2,1,3,884.98,45632.3,44747.31,16820.03,17705.02,0
1,2,1,2,413869.16,30178,0,1233.27,172151.98,0
1,2,1,4,10041.15,0,0,0,0,0
1,2,1,2,104383.23,6208,0,31685,136068.23,0
1,2,1,4,10297.28,797019,786721.72,0,0,0
1,2,1,2,435750.07,81665.27,0,171563.34,86068.74,0
1,2,1,4,3145.89,100218,97072.11,0,0,0
1,2,1,1,82283.97,3796356.52,3878640.49,357633.47,275349.5,0
1,2,1,2,417131.84,166850,0,16901,47551.99,0
1,2,1,1,66285.09,7833597.47,7899882.55,70032,0,0
1,2,1,4,738.07,9607.02,8868.95,0,0,0
1,2,1,4,983.46,38806,37822.54,0,0,0
1,2,1,2,101116.28,0,0,110645.44,1093896.21,0
1,2,1,4,26883.35,70100.86,43217.51,0,0,0
1,2,1,2,9941.08,0,0,63023.72,72964.8,0
1,2,1,4,17596.24,0,0,0,0,0
1,2,1,2,299470.27,0,0,1485435.07,1784905.34,0
1,2,1,2,111488.44,0,0,872176.27,2342028.87,0
1,2,1,4,7596.16,0,0,0,0,0
1,2,1,2,173518.26,0,0,305270.68,191166.32,0
1,2,1,2,545302.73,22787,0,404303.16,1835098.22,0
1,2,1,1,157351.5,10244776.95,10402128.45,1952987.06,1830533.25,0
1,2,1,4,12641.94,2413036.86,2400394.93,0,0,0
1,2,1,2,184120.57,0,0,1116866.19,1433218.58,0
1,2,1,2,221522.99,476,0,396449.08,209346.65,0
1,2,1,4,359.13,0,0,0,0,0
1,2,1,4,4604.13,768845.92,764241.8,0,0,0
1,2,1,1,109182.14,172423.33,281605.47,178696.53,69514.39,0
1,2,1,4,3502.75,247693.25,244190.5,0,0,0
1,2,1,4,18670.68,21290.91,2620.23,0,0,0
1,2,1,4,2640.75,0,0,0,0,0
1,2,1,2,338659.06,0,0,488392.85,1120988.54,0
1,2,1,1,139868.64,10013,149881.64,98137.53,366734.21,0
1,2,1,2,145063.18,5464.91,0,1076970.25,1479641.43,0
1,2,1,4,21277.36,10172,0,0,0,0
1,2,1,4,6940.36,0,0,0,0,0
