Date,Open,High,Low,Close,Volume
12/29/2023,"5.2900","5.3900","5.0100","5.1100","2,915,554"
12/28/2023,"5.2100","5.5299","5.1400","5.2900","3,715,441"
12/27/2023,"5.6200","5.7700","5.1900","5.2100","4,742,328"
12/26/2023,"5.1800","5.9300","4.9500","5.6600","4,224,462"
12/22/2023,"4.5000","5.4000","4.4500","5.1400","6,209,716"
12/21/2023,"4.9900","4.9900","4.4100","4.5100","4,085,214"
12/20/2023,"4.9100","5.5600","4.7400","4.8000","4,531,337"
12/19/2023,"4.8800","5.2480","4.7760","5.1970","2,961,694"
12/18/2023,"5.2550","5.3000","4.7290","4.8840","3,630,648"
12/15/2023,"5.4400","5.4400","5.1300","5.1890","1,906,668"
12/14/2023,"5.6000","5.7990","5.4000","5.4510","3,010,435"
12/13/2023,"5.8000","5.9900","5.0000","5.4500","9,099,848"
12/12/2023,"7.4850","7.5890","6.7810","6.8510","2,301,279"
12/11/2023,"7.9500","8.3490","7.2010","7.3330","3,492,162"
12/08/2023,"7.2730","8.0630","7.0180","8.0000","4,209,450"
12/07/2023,"7.1500","7.3920","6.7100","7.2240","2,513,832"
12/06/2023,"7.0210","7.2890","6.7000","6.9750","2,554,861"
12/05/2023,"7.5090","8.2000","6.3000","6.6620","5,068,969"
12/04/2023,"6.2000","7.6000","6.0000","7.5620","6,224,978"
12/01/2023,"5.6000","6.4620","5.4400","6.1800","3,090,172"
11/30/2023,"5.5990","5.7200","5.4700","5.6000","925,031"
11/29/2023,"5.5100","5.6800","5.3000","5.5960","1,643,685"
11/28/2023,"5.5270","5.5430","5.2030","5.4030","1,604,556"
11/27/2023,"5.5900","5.8550","5.4010","5.4720","1,452,714"
11/24/2023,"5.7970","5.9000","5.5490","5.5810","800,743"
11/22/2023,"5.7500","5.9620","5.6590","5.7690","1,295,109"
11/21/2023,"5.8000","5.8050","5.6000","5.7520","915,225"
11/20/2023,"5.5000","6.1500","5.5000","5.8990","2,583,135"
11/17/2023,"5.3300","5.7510","5.3150","5.4950","2,203,495"
11/16/2023,"5.4200","5.5490","5.2570","5.3080","1,286,123"
11/15/2023,"5.4000","5.8250","5.3120","5.4290","2,661,669"
11/14/2023,"5.5520","5.7690","5.1800","5.3160","2,185,794"
11/13/2023,"5.2000","5.4660","4.9750","5.4260","1,768,357"
11/10/2023,"5.4000","5.4980","4.7110","5.2100","3,088,915"
11/09/2023,"5.9040","6.0790","5.1270","5.2300","3,628,609"
11/08/2023,"6.3000","6.4160","5.7000","5.8120","2,535,445"
11/07/2023,"5.8580","6.0070","5.5350","5.8740","1,422,859"
11/06/2023,"6.5760","6.7000","5.7600","5.8260","2,345,204"
11/03/2023,"6.1500","6.6700","6.0700","6.2800","2,790,443"
11/02/2023,"5.8410","6.3900","5.7000","5.9200","3,038,787"
